institution,national_rank
National Chiao Tung University,3
Southeast University,17
Tokyo University of Science,20
Catholic University of the Sacred Heart,20
Brigham Young University,139
Technical University of Madrid,10
Nagasaki University,21
National Tsing Hua University,4
University of Warsaw,1
King Saud University,1
University of Bath,37
Concordia University,19
Georgia Regents University,140
Niigata University,22
University of Oulu,5
Pompeu Fabra University,11
Vienna University of Technology,4
Sogang University,14
Gyeongsang National University,15
University of Tampere,6
University of Milan - Bicocca,21
University of Bordeaux I,17
Swedish University of Agricultural Sciences,10
George Mason University,141
Jilin University,18
University of Delhi,2
University of Campinas,3
Wuhan University,19
West Virginia University,142
Pusan National University,16
University of Mississippi - Oxford Campus,143
University of Arkansas for Medical Sciences,144
Miami University,145
University of Tokushima,23
University of Twente,12
Loyola University Chicago,103
Loyola University New Orleans,202
Ajou University,17
Syracuse University,147
Lancaster University,38
Pontifical Catholic University of Chile,1
University of Chile,2
Innsbruck Medical University,5
University of Granada,12
Kanazawa University,24
University of Parma,22
University of Siena,23
Shandong University,20
Technical University of Dortmund,35
University of KwaZulu-Natal,4
"University of Nevada, Reno",148
Yokohama City University,25
École normale supérieure de Lyon,18
University College Cork,3
Ohio University,149
Central South University,21
University of Modena and Reggio Emilia,24
New Mexico State University,150
University of Konstanz,36
University of Hawaii at Manoa,151
University of Nebraska Omaha,152
Shinshu University,26
University of Strathclyde,39
Baylor University,153
Polytechnic University of Valencia,13
Harbin Institute of Technology,22
University of Rennes 1,19
University of Arkansas - Fayetteville,154
Aristotle University of Thessaloniki,2
Jagiellonian University,2
Texas Tech University (TTU),155
University of Rostock,37
University of Akron,156
University of Saskatchewan,20
Juntendo University,27
University of Wyoming,157
Macquarie University,9
University of Canterbury,3
University of Denver,158
Illinois Institute of Technology,159
Creighton University,160
Bielefeld University,38
University of Malaya,2
University of Ulsan,18
City University London,40
Grenoble Institute of Technology,20
Federal University of Minas Gerais,4
University of Hanover,39
South China University of Technology,23
University of Surrey,41
Otto-von-Guericke University Magdeburg,40
Indian Institute of Science,3
Tokyo Metropolitan University,28
Bar-Ilan University,6
Mississippi State University,161
"University of Maryland, Baltimore County",162
University of Wollongong,10
Flinders University,11
Martin Luther University of Halle-Wittenberg,41
Graduate University for Advanced Studies,29
Clemson University,163
University of Brescia,25
Georgia State University,164
Dongguk University,19
University of Fribourg,8
Sichuan University,24
University of Iceland,1
University of Sherbrooke,21
University of Graz,6
University of Málaga,14
University of Zaragoza,15
New York Medical College,165
SUNY Downstate Medical Center,166
École Centrale Paris,21
Utah State University,167
University of Ljubljana,1
University of Montpellier 1,22
Victoria University of Wellington,4
East China University of Science and Technology,25
Konkuk University,20
University of Potsdam,42
University of the Basque Country,16
University of Nice Sophia Antipolis,23
University of Udine,26
National Yang-Ming University,5
Indian Institute of Technology Bombay,4
University of Bayreuth,43
University of Wisconsin–Milwaukee,168
University of Kansas ,122
University of Dayton,169
Nihon University,30
Montana State University - Bozeman,170
"Royal Holloway, University of London",42
Tokyo Women's Medical University,31
Panjab University,5
Tampere University of Technology,7
University of Coimbra,3
University of Newcastle,12
University of Dallas,232
Nara Institute of Science and Technology,32
Auburn University,171
University of Bremen,44
Mahidol University,2
University of Crete,3
Bangor University,43
University of Aveiro,4
University of Palermo,27
Nagoya City University,33
University of Tartu,1
University of Savoy,24
University of Tromsø - The Arctic University of Norway,4
University of Missouri–Kansas City,172
Beihang University,26
American University of Beirut,1
University of Nantes,25
University of Essex,44
University of Zagreb,1
National Central University,6
University Lille 1: Sciences and Technologies,26
University of Catania,28
National Polytechnic Institute of Toulouse,27
Indian Institute of Technology Kanpur,6
Kagoshima University,34
Lanzhou University,27
James Cook University,13
Shizuoka University,35
Indian Institute of Technology Kharagpur,7
Second University of Naples,29
Indian Institute of Technology Madras,8
Plymouth University,45
International School for Advanced Studies,30
Polytechnic University of Turin,31
University of Oviedo,17
Ehime University,36
University of Ioannina,4
University of Cagliari,32
Tottori University,37
Federal University of Rio Grande do Sul,5
Kent State University,173
University of Los Andes (Colombia),1
Hunan University,28
Tokai University,38
LSU Health Sciences Center New Orleans,174
Southern Illinois University Carbondale,175
Tata Institute of Fundamental Research,9
Aalborg University,5
Osaka Prefecture University,39
Chang Gung University,7
Northern Illinois University,176
University of Trento,33
Semmelweis University,2
University of Science and Technology Beijing,29
"National University of Ireland, Galway",4
Dankook University,21
Istanbul University,2
Tokyo University of Agriculture and Technology,40
University of Montana - Missoula,177
Queensland University of Technology,14
Binghamton University,178
Université de Namur,8
University of Tasmania,15
University of Pretoria,5
Central China Normal University,30
Indian Institute of Technology Roorkee,10
Curtin University,16
Canterbury Christ Church University,109
Deakin University,17
Tilburg University,13
Inha University,22
University of New Orleans,179
Paris-Est Créteil Val-de-Marne University,28
University of L'Aquila,34
Chungnam National University,23
University of Salamanca,18
University of Alaska Fairbanks,180
University of Poitiers,29
Albany Medical College,181
"Birkbeck, University of London",46
Griffith University,18
Federal University of São Paulo,6
Carleton University,22
Massey University,5
Catholic University of Korea,24
Open University (UK),47
University of Patras,5
Universidade Nova de Lisboa,5
Texas A&M Health Science Center,182
Braunschweig University of Technology,45
National Chung Hsing University,8
Auburn State University,99
La Trobe University,19
Missouri University of Science and Technology,183
University of Idaho,184
Louisiana Tech University,185
University of Portsmouth,48
University of La Laguna,19
Florida International University,186
DePaul University,230
Medical University of Graz,7
Howard University,187
University of Hertfordshire,49
State University of New York Upstate Medical University,188
State University of New York at Albany,172
Royal College of Surgeons in Ireland,5
State Oil Academy,200
National Technical University of Athens,6
University of Windsor,23
Appalachian State University,275
Rovira i Virgili University,20
Oakland City University,37
Kingston College,85
University of Burgundy,30
University of Illinois at Urbana-Champaign,47
Gunma University,41
Berkeley College,32
AGH University of Science and Technology,3
Gifu University,42
Hacettepe University,3
Örebro University,11
Memorial University of Newfoundland,24
Kindai University,43
University of Florida,48
University of Rhode Island,189
University of Alicante,21
New Jersey Institute of Technology,190
Texas Christian University,83
Lille 2 University of Health and Law,31
"California State University, Long Beach",127
Keele University,50
University of Jyväskylä,8
Rochester Institute of Technology,191
Sapporo Medical University,44
Banaras Hindu University,11
King Abdullah University of Science and Technology,2
Northeast Normal University,31
Portland State University,192
University of Québec at Montreal,25
East China Normal University,32
University of Debrecen,3
Loma Linda University,193
Old Dominion University,194
University of Insubria,35
"University of Nevada, Las Vegas",195
Hong Kong Baptist University,6
University of Minho,6
University of Messina,36
University of Texas at Arlington,196
"University François Rabelais, Tours",32
"UNESP, São Paulo State University",7
Toho University,45
Beijing University of Chemical Technology,33
"Rutgers, The State University of New Jersey - Newark",197
Johannes Kepler University of Linz,8
Warsaw University of Technology,4
University of Paris 13,33
University of Toyama,46
University of Toledo,198
University of Vigo,22
University of Kent,51
Jichi Medical University,47
Roma Tre University,37
Chung Yuan Christian University,9
University of Haifa,7
Åbo Akademi University,9
Swansea University,52
China Agricultural University,34
Marche Polytechnic University,38
"University of Maine, Orono",199
Heriot-Watt University,53
Marquette University,200
Loughborough University,54
Kaiserslautern University of Technology,46
Aston University,55
University of Girona,23
Hasselt University,9
Nanjing University of Science and Technology,35
"University of Natural Resources and Life Sciences, Vienna",9
University of Szeged,4
Soochow University (Suzhou),36
University of the Balearic Islands,24
Fuzhou University,37
University of Memphis,201
San Francisco State University,202
East Carolina University,203
University of Augsburg,47
University of Missouri–St. Louis,204
Kyoto Prefectural University of Medicine,48
Shanghai University,38
University of South Australia,20
Liverpool John Moores University,56
Graz University of Technology,10
Kitasato University,49
University of North Carolina at Charlotte,205
"G. d'Annunzio University, Chieti-Pescara",39
University of Cantabria,25
Miguel Hernández University of Elche,26
Donghua University,39
Comenius University in Bratislava,1
University of Alabama in Huntsville,206
Mie University,50
University of Stirling,57
Hunter College,207
Swinburne University of Technology,21
University of Ulster,58
University of Évry Val d'Essonne,34
University of Salerno,40
National University of La Plata,2
Masaryk University,2
Yamaguchi University,51
University of Yamanashi,52
Showa University,53
North Dakota State University - Main Campus,208
"University of North Texas, Denton",209
University of Mississippi Medical Center,210
University of Tehran,1
"Paul Valéry University, Montpellier III",35
Wuhan University of Technology,40
University of Hyogo,54
The Catholic University of America,211
University of Neuchâtel,9
National Polytechnic Institute,2
Jikei University School of Medicine,55
University of Valladolid,27
University of Calabria,41
University of Lübeck,48
Kurume University,56
Peking Union Medical College,41
Yamagata University,57
University of Córdoba (Spain),28
University of Mons,10
Saga University,58
Clarkson University,212
University of South Alabama,213
Inje University,25
University of Caen Lower Normandy,36
University of Castilla–La Mancha,29
Czech Technical University in Prague,3
Saitama Medical University,59
Istanbul Technical University,4
Kaohsiung Medical University,10
University of Electro-Communications,60
Yeungnam University,26
Jawaharlal Nehru Centre for Advanced Scientific Research,12
"Putra University, Malaysia",3
Institut national des sciences Appliquées de Lyon,37
University of Perpignan Via Domitia,38
University of Miyazaki,61
Second Military Medical University,42
Northern Arizona University,214
École Polytechnique de Montréal,26
University of Salento,42
Fukuoka University,62
Nagoya Institute of Technology,63
Ankara University,5
Blaise Pascal University,39
University of Electronic Science and Technology of China,43
National Sun Yat-sen University,11
University of Rouen,40
Bowling Green State University,215
Norwegian University of Life Sciences,5
University of Picardie Jules Verne,41
Michigan Technological University,216
University of Concepción,3
China Medical University (Taiwan),12
University of Hohenheim,49
Aberystwyth University,59
Wilfrid Laurier University,27
Cairo University,1
University of Murcia,30
"Palacký University, Olomouc",4
Taipei Medical University,13
University of Bradford,60
King Fahd University of Petroleum and Minerals,3
Ege University,6
University of Belgrade,1
"University of Eastern Piedmont Amedeo Avogadro""""",43
Budapest University of Technology and Economics,5
University of Salzburg,11
University of Massachusetts Lowell,217
Jaume I University,31
Chongqing University,44
Beijing Institute of Technology,45
Manchester Metropolitan University,61
Zhengzhou University,46
Dublin City University,6
"National University of Ireland, Maynooth",7
Kangwon National University,27
"Royal Veterinary College, University of London",62
Wright State University - Dayton,218
Capital Medical University,47
University of Brighton,63
Sofia University,1
University of Regina,28
Magna Græcia University of Catanzaro,44
Chungbuk National University,28
Kōchi University,64
University of New Brunswick,29
Sejong University,29
Sharif University of Technology,2
Chung-Ang University,30
"Queens College, City University of New York",219
Murdoch University,22
Chosun University,31
Vilnius University,1
University of Maribor,2
Ritsumeikan University,65
University of Sassari,45
Nanjing Normal University,48
University of Franche-Comté,42
University of Texas at El Paso,220
Rio de Janeiro State University,8
Jinan University,49
University of Massachusetts Boston,221
University of Alcalá,32
Tehran University of Medical Sciences,3
University of the Ryukyus,66
University of Angers,43
Fluminense Federal University,9
Florida Institute of Technology,222
Trent University,30
National Chung Cheng University,14
Bilkent University,7
National Taiwan Normal University,15
Saitama University,67
RMIT University,23
Hamamatsu University School of Medicine,68
University of Greifswald,50
University of Pécs,6
University of Fukui,69
Oakland University,223
Nanjing University of Technology,50
"University of Technology, Sydney",24
University of North Carolina at Greensboro,224
"All India Institute of Medical Sciences, New Delhi",13
Kyoto Institute of Technology,70
Ocean University of China,51
Chiang Mai University,3
University of Camerino,46
Hirosaki University,71
University of North Dakota,225
University of Extremadura,33
Teikyo University,72
Jiangnan University,52
Adam Mickiewicz University in Poznań,5
University of Waikato,6
University of Veterinary Medicine Vienna,12
University of Cádiz,34
Florida Atlantic University,226
Huazhong Agricultural University,53
Brock University,31
University of Lleida,35
Shanghai Normal University,54
Jean Monnet University,44
Shimane University,73
University of Orléans,45
University of Siegen,51
Makerere University,1
"University of Wales, Trinity Saint David",64
National Taiwan University of Science and Technology,16
University of Brasília,10
University of Western Brittany,46
Nanjing Agricultural University,55
National University of Córdoba,3
Federal University of Santa Catarina,11
National Taiwan Ocean University,17
Gazi University,8
National University of Colombia,2
University of Jaén,36
Boğaziçi University,9
Jadavpur University,14
Pukyong National University,32
University of Western Sydney,25
Northeastern University (China),56
University of Mannheim,52
University of Osnabrück,53
Charles Darwin University,26
University of Hyderabad,15
Northwest University (China),57
University of Southern Mississippi,227
Xavier University,305
University of Wrocław,6
Carlos III University of Madrid,37
Novosibirsk State University,3
Nanjing Medical University,58
Nicolaus Copernicus University in Toruń,7
Federal University of Santa Maria,12
Chemnitz University of Technology,54
Southwest University,59
Wrocław University of Technology,8
"University of California, Merced",228
United Arab Emirates University,1
Federal University of São Carlos,13
University of Thessaly,7
University of Basilicata,47
Feng Chia University,18
Federal University of Paraná,14
University of Almería,38
Hallym University,33
Fourth Military Medical University,60
Naval Postgraduate School,299
University of the Republic (Uruguay),1
Dokuz Eylül University,10
Nanjing University of Aeronautics and Astronautics,61
Public University of Navarre,39
University of A Coruña,40
Isfahan University of Technology,4
University of New England (Australia),27
Federal University of Pernambuco,15
Jiangsu University,62
Third Military Medical University,63
South China Normal University,64
University of Limerick,8
Xiangtan University,65
Yangzhou University,66
Northwestern Polytechnical University,67
University of Reims Champagne-Ardenne,47
Ibaraki University,74
Chung Shan Medical University,19
Alexandria University,2
Yuan Ze University,20
University of Cyprus,1
University of Silesia,9
Southern Medical University,68
Shiraz University,5
University of Bucharest,1
Mansoura University,3
Amirkabir University of Technology,6
Beijing Jiaotong University,69
University of Valenciennes and Hainaut-Cambresis,48
University of the Algarve,7
"University of Chemistry and Technology, Prague",5
Federal University of Ceará,16
Ain Shams University,4
University of Oldenburg,55
Federal University of Bahia,17
Hunan Normal University,70
Western Michigan University,229
University of Seoul,34
Federico Santa María Technical University,4
Ryerson University,32
South China Agricultural University,71
Fu Jen Catholic University,21
China Pharmaceutical University,72
Tarbiat Modares University,7
University of Puerto Rico at Mayagüez,1
National University of Rosario,4
University of Pheonix,361
University of Pau and Pays de l'Adour,49
Xidian University,73
Zhejiang University of Technology,74
China Medical University (PRC),75
Federal University of ABC,18
King Juan Carlos University,41
Beijing University of Technology,76
Guangxi University,77
Northwest A&F University,78
Shanxi University,79
Tamkang University,22
Harbin Medical University,80
Zhejiang Normal University,81
King Abdulaziz University,4
Iran University of Science and Technology,8
I-Shou University,23
University of Maine (Le Mans),50
National Dong Hwa University,24
National Taipei University of Technology,25
Shaanxi Normal University,82
National University of Defense Technology,83
Yanbian University,84